region,count
AD,28
AE,903
AF,171
AG,16
AI,1
AL,1584
AM,447
AN,23
AO,69
AQ,5
AR,83272
AS,4
AT,20399
AU,74461
AW,27
AZ,562
BA,1430
BB,35
BD,1561
BE,23855
BF,168
BG,20625
BH,80
BI,22
BJ,30
BM,27
BN,10
BO,424
BR,78007
BS,86
BT,45
BUMM,32
BW,8
BY,302
BZ,22
CA,91075
CD,33
CF,7
CG,38
CH,7102
CI,53
CK,4
CL,6790
CM,130
CN,8895
CO,4320
CR,425
CSHH,6740
CSXX,225
CU,1860
CV,9
CY,503
CZ,10973
DDDE,8451
DE,110171
DJ,1
DK,43874
DM,6
DO,1565
DZ,321
EC,548
EE,4942
EG,3838
EH,3
ER,7
ES,112373
ET,85
FI,61207
FJ,28
FO,26
FR,147299
GA,31
GB,257134
GD,3
GE,1006
GF,4
GH,231
GI,52
GL,34
GM,8
GN,23
GP,86
GQ,3
GR,68850
GT,168
GU,49
GW,12
GY,8
HK,17078
HN,72
HR,8989
HT,119
HU,55381
ID,2814
IE,8297
IL,9609
IM,16
IN,48148
IQ,242
IR,6862
IS,1453
IT,83633
JE,2
JM,175
JO,209
JP,119690
KE,292
KG,103
KH,177
KI,2
KM,5
KN,2
KP,232
KR,11203
KW,133
KY,17
KZ,366
LA,58
LB,922
LC,9
LI,38
LK,670
LR,11
LS,11
LT,6894
LU,431
LV,1271
LY,24
MA,580
MC,49
MD,101
ME,72
MG,26
MH,8
MK,541
ML,57
MM,80
MN,135
MO,65
MP,1
MQ,18
MR,12
MS,2
MT,195
MU,54
MV,24
MW,16
MX,43630
MY,1833
MZ,86
NA,55
NC,10
NE,46
NG,3995
NI,81
NL,28997
NO,17977
NP,538
NR,1
NU,1
NZ,5343
OM,15
PA,448
PE,5633
PF,18
PG,17
PH,14787
PK,2134
PL,46590
PR,1002
PS,165
PT,56257
PW,1
PY,212
QA,198
RE,17
RO,19617
RS,14875
RU,51333
RW,57
SA,213
SB,4
SC,4
SD,46
SE,46056
SG,2457
SH,2
SI,6660
SK,3447
SL,23
SM,163
SN,158
SO,12
SR,13
ST,2
SUHH,25087
SV,77
SY,268
SZ,16
TD,19
TG,32
TH,2058
TJ,32
TL,17
TM,20
TN,241
TO,8
TR,28912
TT,200
TV,5
TW,5464
TZ,76
UA,8826
UG,137
US,936382
UY,5416
UZ,102
VA,3
VC,6
VDVN,28
VE,8911
VG,1
VI,96
VN,2573
VU,5
WF,2
WS,2
XAS,266
XAU,1
XEU,4478
XKO,105
XKV,156
XNA,2
XPI,22
XSA,93
XSI,7
XWG,44340
XWW,111266
XYU,12721
YE,19
YUCS,553
ZA,4294
ZM,28
ZRCD,2
ZW,68
,445531
