startyear,num_comedies,num_drames,num_news,num_crime,num_talk_shows,num_actions,num_adult,num_thrillers,num_sport,num_mystery,num_romance,num_scifi,num_noir,num_realtv,num_biography,num_war,num_fantasy,num_musicals,num_history,num_animation,num_documentaries,num_music,num_family,num_horrors,num_westerns,num_game_shows,num_adventures
1874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1887,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0
1888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1891,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1892,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0
1893,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1894,5,1,0,0,0,3,0,0,9,0,1,0,0,0,0,0,0,0,0,1,29,1,0,0,1,0,0
1895,8,6,3,2,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,0,53,0,0,0,0,0,0
1896,39,10,7,2,0,2,0,0,22,0,1,0,0,0,1,0,5,0,0,0,575,1,2,4,0,0,0
1897,112,24,61,7,0,4,0,0,68,0,1,0,0,0,0,10,4,0,3,1,813,0,13,8,0,0,0
1898,191,34,68,3,0,3,0,0,54,0,3,1,0,0,0,55,11,0,1,2,1152,0,3,7,0,0,1
1899,201,63,96,2,0,0,0,0,142,0,4,0,0,0,5,35,22,0,5,2,1160,1,2,7,4,0,1
1900,229,66,9,9,0,1,0,0,54,0,1,0,0,0,1,47,30,14,3,2,1256,23,1,4,0,0,1
1901,160,40,25,2,0,2,1,0,93,0,3,0,0,0,0,34,42,0,2,1,1324,1,1,4,1,0,0
1902,230,33,45,1,0,2,0,0,62,0,0,0,0,0,2,2,61,0,1,1,1171,5,0,2,0,0,3
1903,428,121,19,19,0,10,0,0,88,0,8,1,0,0,4,6,87,0,0,1,1637,1,9,4,8,0,5
1904,343,85,2,19,0,5,0,0,52,0,2,1,0,0,0,44,24,1,4,2,987,1,1,1,3,0,4
1905,366,111,4,31,0,3,0,0,68,1,3,1,0,0,2,7,18,1,0,1,914,24,5,1,1,0,4
1906,408,147,4,29,0,0,0,0,84,1,5,1,0,0,3,2,20,1,2,3,921,37,2,2,6,0,6
1907,733,307,0,22,0,2,1,4,66,1,10,1,0,0,0,1,39,1,1,8,774,74,5,3,19,0,9
1908,1088,808,2,49,0,21,1,1,111,5,28,5,0,0,2,12,60,41,19,21,950,96,2,4,48,0,9
1909,1353,1269,0,59,0,6,1,6,83,12,42,3,0,0,8,31,46,40,21,22,1069,105,2,2,105,0,14
1910,1626,1736,4,66,0,2,1,29,74,11,160,4,0,0,5,25,48,51,28,31,1235,52,5,6,382,0,25
1911,1951,2190,27,60,0,9,0,29,69,5,230,4,0,0,8,45,34,3,19,15,1513,6,22,1,515,0,31
1912,2575,2944,144,124,0,11,0,100,31,24,394,3,0,0,4,37,43,0,18,29,975,2,31,10,583,0,69
1913,2993,3403,280,198,0,19,0,115,17,31,338,3,0,0,6,43,38,3,28,125,1005,39,20,10,485,0,76
1914,3026,3336,328,215,0,27,1,101,13,52,245,2,0,0,9,106,24,1,35,60,533,14,6,11,399,0,113
1915,2704,3215,319,175,0,42,1,102,19,78,207,6,0,0,7,108,20,0,32,153,546,6,5,14,295,0,88
1916,2217,2129,418,138,2,56,0,91,17,51,158,9,0,0,5,58,19,0,24,313,529,11,5,13,219,0,55
1917,1649,1449,338,136,0,35,0,39,8,62,119,2,0,0,12,59,28,2,25,286,588,5,10,12,174,0,77
1918,1194,1110,441,86,0,35,0,13,4,43,152,5,0,0,10,152,16,0,17,194,618,1,6,6,140,0,81
1919,1073,1017,26,141,0,54,0,12,18,30,148,3,0,0,5,33,10,1,20,183,411,2,2,13,202,0,81
1920,1273,906,0,141,0,47,6,9,16,55,98,9,0,0,4,11,10,3,14,290,389,4,5,25,179,0,97
1921,995,724,1,103,0,45,2,10,34,85,129,7,0,0,3,7,25,2,13,248,377,15,10,13,220,0,83
1922,905,720,15,79,0,54,1,13,48,44,159,3,0,0,11,6,17,2,33,203,313,31,18,9,206,0,70
1923,754,651,6,86,0,47,2,8,23,49,114,2,0,0,11,11,19,1,35,175,258,12,20,8,153,0,71
1924,796,629,8,74,0,62,3,16,54,35,122,5,0,1,3,10,12,4,26,188,245,12,22,8,211,0,58
1925,929,662,3,44,0,95,7,13,53,13,157,7,0,1,6,12,13,6,16,248,359,12,27,8,268,0,102
1926,978,813,3,75,0,137,0,19,41,23,233,0,0,1,8,23,10,5,18,283,266,35,22,8,213,0,131
1927,1024,833,0,61,0,105,1,16,58,17,204,3,1,0,5,31,9,22,20,239,349,70,23,11,193,0,87
1928,907,874,3,70,0,110,1,21,38,24,197,0,2,1,10,30,10,18,31,199,319,136,26,9,180,0,87
1929,857,801,2,92,0,76,1,18,57,39,184,4,1,1,4,18,6,273,22,185,268,520,62,7,108,0,86
1930,792,724,4,105,0,76,5,7,50,38,260,3,1,0,6,29,13,285,15,203,237,363,81,5,83,0,68
