tconst,titletype,primarytitle,originaltitle,isadult,startyear,endyear,runtimeminutes,genres
tt0525155,tvEpisode,Broken,Broken,false,1993,,,"Crime,Drama"
tt0225223,short,Broken,Broken,false,2000,,29,"Drama,Short,Thriller"
tt2041320,short,Broken,Broken,false,2000,,14,"Drama,Short"
tt0503587,tvEpisode,Broken,Broken,false,2001,,45,"Drama,Family,Romance"
tt0359031,short,Broken,Broken,false,2001,,11,Short
tt0947720,tvEpisode,Broken,Broken,false,2001,,,"Animation,Comedy,Family"
tt0534779,tvEpisode,Broken,Broken,false,2002,,43,"Action,Crime,Drama"
tt0326527,short,Broken,Broken,false,2002,,17,"Crime,Drama,Short"
tt0387081,short,Broken,Broken,false,2003,,12,"Documentary,Short"
tt0411196,short,Broken,Broken,false,2003,,10,"Short,Thriller"
tt0720890,tvEpisode,Broken,Broken,false,2004,,,"Action,Crime,Drama"
tt1500141,short,Broken,Broken,false,2004,,20,"Comedy,Fantasy,Horror"
tt0827698,short,Broken,Broken,false,2004,,17,"Drama,Short"
tt0398810,short,Broken,Broken,false,2004,,14,"Comedy,Short"
tt2479954,short,Broken,Broken,false,2005,,,"Drama,Short"
tt1479188,short,Broken,Broken,false,2005,,5,"Drama,Romance,Short"
tt0446663,short,Broken,Broken,false,2005,,19,"Action,Crime,Fantasy"
tt0451001,short,Broken,Broken,false,2005,,,"Drama,Fantasy,Short"
tt0818744,short,Broken,Broken,false,2005,,40,"Drama,Short"
tt0859597,movie,Broken,Broken,false,2005,,79,Comedy
tt1429010,short,Broken,Broken,false,2005,,11,"Drama,Short"
tt0454839,movie,Broken,Broken,false,2006,,110,"Horror,Thriller"
tt0469045,movie,Broken,Broken,false,2006,,97,"Drama,Thriller"
tt0756628,short,Broken,Broken,false,2006,,15,"Crime,Drama,Short"
tt0834538,short,Broken,Broken,false,2006,,15,"Drama,Short"
tt1094583,short,Broken,Broken,false,2007,,15,"Drama,Short"
tt1662644,video,Broken,Broken,false,2007,,9,"Drama,Short"
tt1038396,tvEpisode,Broken,Broken,false,2007,,,Drama
tt1116735,video,Broken,Broken,true,2007,,,"Adult,Drama"
tt1107058,tvEpisode,Broken,Broken,false,2007,,,Drama
tt1079348,movie,Broken,Broken,false,2007,,102,"Crime,Drama,Thriller"
tt1324073,short,Broken,Broken,false,2008,,2,"Drama,Short"
tt1276109,short,Broken,Broken,false,2008,,7,"Drama,Short"
tt1281367,short,Broken,Broken,false,2008,,12,"Crime,Horror,Short"
tt1328606,short,Broken,Broken,false,2008,,29,"Drama,Short"
tt1366360,short,Broken,Broken,false,2008,,11,"Drama,Short"
tt1381731,short,Broken,Broken,false,2008,,4,"Drama,Short"
tt1546784,movie,Broken,Broken,false,2009,,57,Drama
tt1347310,movie,Broken,Broken,false,2009,,112,Drama
tt1387907,tvEpisode,Broken,Broken,false,2009,,21,Reality-TV
tt1407956,short,Broken,Broken,false,2009,,,"Drama,Mystery,Short"
tt3390678,short,Broken,Broken,false,2009,,23,"Drama,Short"
tt1462220,tvEpisode,Broken,Broken,false,2009,,89,"Drama,Mystery"
tt1488356,tvEpisode,Broken,Broken,false,2009,,44,"Action,Adventure,Drama"
tt1500143,video,Broken,Broken,false,2009,,13,"Drama,Short"
tt1513727,short,Broken,Broken,false,2009,,16,"Action,Drama,Short"
tt1523859,tvEpisode,Broken,Broken,false,2009,,44,"Action,Crime,Drama"
tt1531636,short,Broken,Broken,false,2009,,8,"Drama,Short"
tt1475314,movie,Broken,Broken,false,2010,,,
tt3625102,short,Broken,Broken,false,2010,,,"Horror,Short"
tt1709099,video,Broken,Broken,false,2010,,10,"Comedy,Romance,Short"
tt1491964,tvEpisode,Broken,Broken,false,2010,,46,"Crime,Drama,Mystery"
tt3872756,short,Broken,Broken,false,2010,,,Short
tt1660320,short,Broken,Broken,false,2010,,13,"Drama,Family,Mystery"
tt1590293,short,Broken,Broken,false,2010,,15,"Action,Drama,Mystery"
tt1753546,movie,Broken,Broken,false,2010,,45,Drama
tt1602112,short,Broken,Broken,false,2010,,7,"Drama,Short"
tt1619623,short,Broken,Broken,false,2010,,7,"Drama,Horror,Short"
tt2062498,short,Broken,Broken,false,2010,,,"Drama,Short"
tt1517636,short,Broken,Broken,false,2010,,18,"Drama,Short"
tt1688422,video,Broken,Broken,false,2010,,4,"Drama,Short"
tt3426866,movie,Broken,Broken,false,2010,,,"Comedy,Drama,Family"
tt1579348,short,Broken,Broken,false,2010,,7,"Drama,Short"
tt2499174,short,Broken,Broken,false,2011,,11,"Drama,Short"
tt1702458,movie,Broken,Broken,false,2011,,,Drama
tt1723736,movie,Broken,Broken,false,2011,,45,Drama
tt1789717,short,Broken,Broken,false,2011,,,"Drama,Short"
tt1850340,video,Broken,Broken,false,2011,,6,"Drama,Short,Thriller"
tt1862456,short,Broken,Broken,false,2011,,5,"Animation,Drama,Short"
