startyear,num_movies,num_non_null_runtime,min_runtime,avg_runtime,max_runtime
1894,1,1,45,45,45
1897,2,1,20,20,20
1898,26,1,1,1,1
1899,12,1,135,135,135
1900,14,1,66,66,66
1901,9,1,9,9,9
1902,6,0,,,
1903,11,0,,,
1904,7,1,68,68,68
1905,18,1,100,100,100
1906,30,1,70,70,70
1907,15,1,57,57,57
1908,27,3,60,90.3333333333333333,120
1909,99,4,50,66.25,90
1910,111,13,45,72.4615384615384615,120
1911,174,23,45,58.4782608695652174,119
1912,362,40,4,59.425,163
1913,689,79,17,72.7848101265822785,300
1914,1156,128,16,88.484375,1428
1915,1635,195,46,66.3487179487179487,440
1916,2091,400,45,60.9925,400
1917,2164,428,45,65.1635514018691589,480
1918,2239,444,7,64.9752252252252252,600
1919,2420,440,45,69.2386363636363636,489
1920,2649,451,40,66.319290465631929,360
1921,2590,431,40,69.2389791183294664,1035
1922,2174,458,11,69.5982532751091703,360
1923,1903,456,45,74.1710526315789474,382
1924,1923,514,20,72.8813229571984436,310
1925,2038,615,5,73.175609756097561,359
1926,1888,620,29,74.3854838709677419,305
1927,1976,632,45,72.8370253164556962,240
1928,1970,688,5,75.0886627906976744,251
1929,1829,644,14,78.6754658385093168,266
1930,1822,852,1,78.1889671361502347,220
1931,1905,1077,17,80.2367688022284123,250
1932,1980,1149,5,78.0635335073977372,246
1933,1916,1107,6,80.2375790424570912,3122
1934,1825,1175,7,82.0442553191489362,2382
1935,1873,1234,4,81.179902755267423,2323
1936,2130,1370,4,80.9452554744525547,328
1937,2049,1386,9,81.227994227994228,308
1938,1933,1362,6,82.8428781204111601,300
1939,1832,1264,5,85.0593354430379747,821
1940,1727,1216,45,84.3042763157894737,300
1941,1519,1107,10,86.4182475158084914,300
1942,1461,1154,10,85.3830155979202773,280
1943,1328,1090,45,84.9935779816513761,299
1944,1168,899,8,85.0734149054505006,285
1945,1120,809,16,84.6798516687268232,295
1946,1303,912,6,85.4221491228070175,420
1947,1484,999,5,86.6146146146146146,285
1948,1582,1073,40,86.6831314072693383,270
1949,1748,1185,8,88.529957805907173,263
1950,1901,1307,4,87.9257842387146136,270
1951,1825,1300,7,89.2430769230769231,287
1952,2010,1345,5,88.7851301115241636,252
1953,2060,1435,4,90.0125435540069686,230
1954,2084,1389,3,92.4586033117350612,315
1955,2133,1408,7,92.1747159090909091,225
1956,2305,1517,10,92.1160184574818721,220
1957,2415,1656,4,90.4480676328502415,330
1958,2464,1627,8,91.3872157344806392,240
1959,2486,1669,13,92.1258238466147394,212
1960,2639,1736,5,90.8951612903225806,278
1961,2690,1768,4,89.955316742081448,234
1962,2684,1812,6,91.6208609271523179,216
1963,2667,1726,3,90.9241019698725377,205
1964,2884,1920,7,92.0348958333333333,485
1965,3148,1984,4,92.9929435483870968,358
1966,3156,1968,10,92.5482723577235772,422
1967,3231,2229,11,95.8456707043517272,1970
1968,3639,2568,3,94.8021806853582555,420
1969,3756,2535,9,91.9388560157790927,300
1970,4019,2639,9,92.0435771125426298,2880
1971,3996,2714,6,89.7947678703021371,729
1972,3853,2713,8,90.535938075930704,1972
1973,3787,2745,11,89.360655737704918,465
1974,3692,2682,7,90.0995525727069351,287
1975,3864,2766,15,89.2393347794649313,632
1976,3776,2778,14,89.7976961843052556,763
1977,3730,2688,15,91.4103422619047619,442
1978,3868,2751,10,89.7291893856779353,273
1979,3991,2827,2,90.3968871595330739,336
1980,3946,2739,5,91.2679810149689668,269
1981,3957,2815,26,91.0465364120781528,323
1982,3913,2763,16,91.3749547593195802,255
1983,4081,2912,34,90.6850961538461538,330
1984,4225,2899,11,90.6146947223180407,274
1985,4321,2923,28,91.8214163530619227,566
1986,4232,2939,29,90.8724055801292957,284
1987,4247,2985,12,94.5279731993299832,5220
1988,4413,3049,26,92.1807149885208265,665
1989,4388,3084,6,92.2590791180285344,358
1990,4657,2976,18,92.3373655913978495,659
1991,4229,2817,20,92.7145899893503727,380
1992,4187,2704,18,93.4977810650887574,501
1993,4044,2609,22,93.7497125335377539,1440
1994,3999,2798,27,92.1568977841315225,450
1995,4174,2913,22,91.3487813250944044,620
1996,4158,2859,25,92.0675061210213361,1452
1997,4430,3090,20,91.3598705501618123,360
1998,4544,3196,38,90.6110763454317897,365
1999,4750,3358,15,91.7194758784991066,340
2000,4889,3644,9,90.9989023051591658,450
2001,5229,3886,12,90.3723623262995368,360
2002,5424,4120,1,90.7990291262135922,720
2003,5515,4427,11,89.8759882538965439,411
2004,6160,5057,5,91.2825786039153648,9000
2005,6935,5605,5,88.9955396966993756,950
2006,7414,6205,4,89.0262691377921031,540
2007,8134,6692,6,88.5886132695756127,675
2008,9551,7795,2,87.5784477228992944,840
2009,11145,9158,1,85.7997379340467351,390
2010,11951,10028,1,85.5372955723972876,3450
2011,12984,10746,2,86.4389540294062907,14400
2012,13839,11438,1,89.2962930582269628,51420
2013,14767,12351,1,85.0074487895716946,4080
2014,15675,13015,1,84.5730311179408375,549
2015,16331,13305,1,85.4605035700864337,6000
2016,17462,13589,1,84.9150783722128192,1834
2017,17792,13543,1,85.7352876024514509,6017
2018,17191,12398,1,87.5373447330214551,1320
2019,10454,5814,1,90.1341589267285862,1260
2020,1741,189,4,94.0582010582010582,195
2021,142,10,60,102.1,124
2022,40,5,89,107.8,120
2023,7,0,,,
2024,2,0,,,
2025,4,2,128,150,172
2026,1,0,,,
2027,1,0,,,
2115,1,0,,,
,60114,5844,1,88.3819301848049281,1179
