directors,count_titles
,2507812
nm0565214,5969
nm0022750,5870
nm0107757,3984
nm0141225,3433
nm4337659,3022
nm6908650,2916
nm1337210,2866
nm0181656,2737
nm0960965,2734
nm1667633,2727
nm0757877,2690
nm4027968,2554
nm1323599,2062
nm0944315,1981
nm7149567,1978
nm1856804,1961
nm9785742,1942
nm1566468,1868
nm5416981,1867
nm0032853,1857
nm0773780,1825
nm0195270,1754
nm1212770,1730
nm9605429,1727
nm5460792,1722
nm0896874,1714
nm5531788,1710
nm0829985,1686
nm1865788,1683
nm0129828,1680
nm0145114,1669
nm0804973,1641
nm1951120,1609
nm3753696,1599
nm0769431,1598
nm2291228,1589
nm0814716,1570
nm0422874,1562
nm0260619,1550
nm1591416,1547
nm0136695,1530
nm0842611,1503
nm6595815,1500
nm0076227,1500
nm4489288,1497
nm1931428,1491
nm9891925,1451
nm1941244,1441
nm2329841,1435
nm9505932,1423
nm3058370,1395
nm0042771,1366
nm0743957,1352
nm1145806,1347
nm1509566,1333
nm9957695,1330
nm0284159,1316
nm10494632,1316
nm7207144,1311
nm4576442,1308
nm1422025,1304
nm0209853,1303
nm0704289,1293
nm1930056,1274
nm0038077,1269
nm4477455,1260
nm5752785,1248
nm1097698,1245
nm5680369,1232
nm0139018,1224
nm0167371,1219
nm0228134,1213
nm0716752,1211
nm3494686,1211
nm1076912,1207
nm0355961,1191
nm1487328,1183
nm0194720,1182
nm1876309,1168
nm5012547,1163
nm0451128,1163
nm0260982,1162
nm0845142,1146
nm0830634,1144
nm2237374,1134
nm1834600,1125
nm0446334,1124
nm0691540,1121
nm0306320,1120
nm1518236,1107
nm0578958,1105
nm2556224,1103
"nm1568433,nm0721405,nm0757739",1102
nm3766090,1101
"nm0201927,nm10831796",1093
nm0482901,1090
nm0943063,1077
nm0482774,1069
nm0417562,1068
nm10564978,1051
nm0754586,1051
nm3184275,1049
nm0044228,1041
nm0052486,1041
"nm10812221,nm10812220",1041
nm0657632,1040
nm0015846,1036
nm0872535,1034
nm0123273,1022
nm1124242,1016
nm0080315,1012
nm1246883,1012
nm0464296,1007
nm3002130,1003
"nm0113512,nm0129828",1003
nm3771559,1001
nm1777491,987
nm5741914,983
nm4636985,970
nm0253582,962
nm0348735,957
nm0329353,951
nm0243626,948
nm0230665,947
nm0198852,945
nm1245286,941
nm8375204,937
nm1542079,932
nm0608461,927
nm3809533,920
nm1180436,919
nm1078193,912
nm1131716,911
nm4604194,907
"nm9750986,nm6833072",901
nm2554911,898
nm1041792,890
nm0554045,882
nm2811859,879
nm0100189,874
nm0176686,873
nm1807008,863
nm1217908,862
nm0789783,860
nm0669120,858
nm1377784,857
nm0622051,854
"nm10831796,nm0201927",846
nm8111718,841
nm9400114,836
nm1618188,835
nm8189385,823
nm0602600,823
nm1363214,818
nm9243788,818
nm0696489,817
nm4443289,806
nm4739911,802
nm2828890,801
nm8744023,800
nm7509204,791
nm0297239,789
nm0826320,789
nm0526044,783
nm3486538,780
nm7867157,780
nm0646019,776
nm1121649,776
nm0423053,774
nm3475882,770
"nm10812220,nm10812221",768
nm5156799,767
nm0375306,763
nm0218039,763
nm2761716,763
nm0723330,758
"nm7207144,nm2151599",758
nm0025457,757
"nm4934851,nm4473363",753
nm2426885,753
nm0024063,753
nm0215372,752
nm0217087,751
nm0959409,748
nm0567993,748
nm0348668,740
nm1431194,737
nm10631069,733
nm1580740,728
"nm0001904,nm0179189",726
nm1122444,726
nm0262883,726
nm0178079,723
nm10558751,721
nm5646734,717
nm5669454,716
nm0273986,714
nm4928217,714
nm0636616,714
