writers,count_titles
,2954656
nm0417224,5422
"nm0006724,nm0512728",4599
nm0914844,4558
"nm3064446,nm3052538",3543
nm0163210,3079
nm0341311,2735
"nm8996518,nm7006227,nm6908651,nm9115585,nm9115586,nm9115584",2712
nm0297742,2676
nm0633202,2650
nm0722865,2448
"nm5378778,nm2097520,nm4029150,nm2814611,nm4030057",2440
"nm1853938,nm2276735",2373
"nm1368206,nm1644621",2358
nm0068589,2019
nm0001468,1851
nm1041858,1839
"nm10757708,nm6427508",1806
"nm1033267,nm1033349",1785
nm0912726,1779
nm7149567,1765
nm1340699,1734
"nm3128158,nm9828406",1730
"nm1865788,nm8453064,nm10103938",1713
nm0896874,1697
nm4829756,1683
nm0308318,1645
nm7370686,1595
nm0586035,1554
"nm1282374,nm1293423",1543
"nm8042385,nm9957701",1516
"nm2903076,nm3636674",1514
nm0129828,1472
"nm10826863,nm10826864",1444
nm3813965,1415
nm2459588,1398
"nm0011835,nm1027890,nm1038792,nm0114985,nm1709291,nm0546068,nm0680460",1395
"nm3540552,nm6176600,nm6421767,nm8474319,nm1939626,nm4609476,nm10585548",1393
nm3593194,1380
nm0422988,1332
nm9957701,1331
"nm0080327,nm0796503,nm7453536",1323
"nm8126550,nm6311481",1320
"nm8355707,nm10494630,nm10494631",1305
"nm4779832,nm3904462,nm4443442,nm6185615",1299
"nm0403568,nm0403569",1296
"nm4779843,nm4779832,nm1939626",1292
nm0763126,1285
nm0326852,1274
"nm2419706,nm2418460",1256
nm0612901,1255
nm0396449,1232
"nm0535500,nm0675836,nm0883283",1227
"nm0308318,nm0898247",1225
"nm1707653,nm1085627,nm0439984,nm0439987,nm1113688",1221
nm0501148,1215
nm0673502,1207
"nm6308414,nm8152782,nm5035583,nm8152783,nm8152784,nm5537626",1186
nm0757928,1180
nm5203198,1179
"nm0068074,nm0808801,nm0068347,nm0068589",1171
nm1876309,1170
nm0736579,1159
nm0148223,1118
nm0941911,1108
nm0206838,1104
nm3643272,1103
"nm2903076,nm0430816",1073
nm9360791,1067
nm3591597,1065
"nm3296910,nm1055655",1054
nm0300416,1052
nm0840839,1052
nm0423493,1051
"nm2376836,nm4908456,nm4907704,nm4908694,nm2378421",1049
nm1518236,1049
"nm0474861,nm1802260",1046
nm1628335,1046
"nm5471898,nm7734003,nm1888204,nm7749575,nm7764826,nm4060831,nm10346922",1040
nm9195493,1037
"nm0438471,nm3813965,nm1941818,nm8827833,nm8245357",1018
nm0739310,1017
nm1272922,1006
nm0275585,1002
nm0903356,1002
nm0763644,990
"nm3285929,nm2014100,nm0546790,nm7049419,nm2683357",990
"nm9494768,nm10020704,nm9258478,nm5443466",990
nm1121649,986
"nm4758523,nm5386740,nm5386852,nm5387194",984
"nm4779843,nm4779832,nm3813965,nm1939626,nm3568608",982
nm5741914,979
"nm5054027,nm5203198",978
nm0701051,977
"nm2291228,nm2289899",974
"nm0867354,nm0912726",965
nm0785948,960
"nm4658644,nm2708928,nm8687418,nm3278883",958
nm4607871,955
nm0519942,950
"nm0329382,nm0865363",947
nm8375206,947
"nm3706001,nm8258238,nm8245357,nm9115584",945
nm7376493,939
nm3575029,935
"nm2109307,nm5139244",923
nm3809533,922
