tconst,count_principals
tt0001135,10
tt0001161,10
tt0001104,10
tt0001133,10
tt0001150,10
tt0001156,10
tt0001090,10
tt0001103,10
tt0001115,10
tt0001129,10
tt0001143,10
tt0001144,10
tt0001152,10
tt0001153,10
tt0001085,10
tt0001088,10
tt0001091,10
tt0001099,10
tt0001041,10
tt0001107,10
tt0001116,10
tt0001121,10
tt0001064,10
tt0001084,10
tt0001074,10
tt0001000,10
tt0001083,10
tt0001151,10
tt0001013,10
tt0001079,10
tt0000997,10
tt0001061,10
tt0000985,10
tt0001086,10
tt0001029,10
tt0001016,10
tt0001027,10
tt0001095,10
tt0000936,10
tt0000995,10
tt0001060,10
tt0001105,10
tt0001058,10
tt0001046,10
tt0001053,10
tt0001120,10
tt0001002,10
tt0001062,10
tt0001071,10
tt0001075,10
tt0001072,10
tt0000843,10
tt0000901,10
tt0000902,10
tt0000907,10
tt0001077,10
tt0000860,10
tt0001014,10
tt0000864,10
tt0000908,10
tt0001078,10
tt0001005,10
tt0000878,10
tt0000966,10
tt0001031,10
tt0000943,10
tt0000967,10
tt0000919,10
tt0000972,10
tt0000970,10
tt0000928,10
tt0001020,10
tt0000974,10
tt0000981,10
tt0001023,10
tt0000807,10
tt0001025,10
tt0001094,10
tt0000932,10
tt0000897,10
tt0000933,10
tt0000986,10
tt0000752,10
tt0001033,10
tt0001032,10
tt0000942,10
tt0000825,10
tt0001049,10
tt0001044,10
tt0000890,10
tt0000939,10
tt0000892,10
tt0000895,10
tt0001118,10
tt0000945,10
tt0000946,10
tt0000910,10
tt0001015,10
tt0000961,10
tt0001067,10
tt0001065,10
tt0000685,10
tt0000695,10
tt0000853,10
tt0000841,10
tt0000694,10
tt0000852,10
tt0000844,10
tt0000845,10
tt0000851,10
tt0000861,10
tt0000855,10
tt0000909,10
tt0000960,10
tt0000772,10
tt0000857,10
tt0000858,10
tt0000699,10
tt0000778,10
tt0000574,10
tt0000557,10
tt0000862,10
tt0000870,10
tt0000958,10
tt0000779,10
tt0000706,10
tt0000583,10
tt0000789,10
tt0000800,10
tt0000816,10
tt0000787,10
tt0000964,10
tt0000717,10
tt0000920,10
tt0000727,10
tt0000792,10
tt0000877,10
tt0000898,10
tt0000797,10
tt0000723,10
tt0000912,10
tt0000911,10
tt0000730,10
tt0000880,10
tt0000634,10
tt0000921,10
tt0000611,10
tt0000801,10
tt0000731,10
tt0000815,10
tt0000975,10
tt0000922,10
tt0000740,10
tt0000737,10
tt0000882,10
tt0000806,10
tt0000629,10
tt0001092,10
tt0000747,10
tt0000823,10
tt0000637,10
tt0000638,10
tt0000376,10
tt0000765,10
tt0000654,10
tt0000640,10
tt0000653,10
tt0000644,10
tt0000645,10
tt0000837,10
tt0000935,10
tt0000750,10
tt0000821,10
tt0000819,10
tt0000660,10
tt0000764,10
tt0000993,10
tt0000938,10
tt0000663,10
tt0000754,10
tt0000439,10
tt0000665,10
tt0000826,10
tt0000829,10
tt0000828,10
tt0000835,10
tt0000831,10
tt0000762,10
tt0001050,10
tt0001052,10
tt0000684,10
tt0000488,10
tt0000711,10
tt0000683,10
tt0000785,10
tt0000854,10
tt0000903,10
tt0000697,10
tt0000874,10
tt0001170,10
