name,startyear,title,titletype,averagerating,numvotes,job,character
Guillermo del Toro,1993,Cronos,movie,6.7,24593,director,""
Guillermo del Toro,1997,Mimic,movie,5.9,43002,director,""
Guillermo del Toro,1998,Un embrujo,movie,7.1,206,producer,""
Guillermo del Toro,2001,The Devil's Backbone,movie,7.4,57435,director,""
Guillermo del Toro,2002,Blade II,movie,6.7,187676,director,""
Guillermo del Toro,2003,Noin,movie,6.2,8,self,["Himself"]
Guillermo del Toro,2004,Cronicas,movie,6.9,3196,producer,""
Guillermo del Toro,2004,Hellboy,movie,6.9,291140,director,""
Guillermo del Toro,2006,Pan's Labyrinth,movie,8.2,575601,director,""
Guillermo del Toro,2008,Lovecraft: Fear of the Unknown,movie,7.2,1327,self,["Himself"]
Guillermo del Toro,2008,Rudo y Cursi,movie,6.7,7750,producer,""
Guillermo del Toro,2008,Hellboy II: The Golden Army,movie,7,243110,director,""
Guillermo del Toro,2008,Insignificant Things,movie,6.8,528,producer,""
Guillermo del Toro,2008,El último truco,movie,7.5,62,self,["Himself"]
Guillermo del Toro,2009,Rage,movie,6.5,1045,producer,""
Guillermo del Toro,2009,Viva la muerte! Autopsie du nouveau cinéma fantastique espagnol,movie,6.6,11,self,["Himself"]
Guillermo del Toro,2010,Don't Be Afraid of the Dark,movie,5.6,44621,writer,""
Guillermo del Toro,2010,Julia's Eyes,movie,6.7,29488,producer,""
Guillermo del Toro,2011,Ray Harryhausen: Special Effects Titan,movie,7.5,1103,self,["Himself - Director of Hellboy"]
Guillermo del Toro,2012,The Hobbit: An Unexpected Journey,movie,7.9,721867,writer,""
Guillermo del Toro,2013,The Hobbit: The Desolation of Smaug,movie,7.8,567851,writer,""
Guillermo del Toro,2013,Pacific Rim,movie,6.9,445676,director,""
Guillermo del Toro,2013,"Gahan Wilson: Born Dead, Still Weird",movie,8.1,11,self,["Himself"]
Guillermo del Toro,2013,Extraordinary Tales,movie,6.5,2683,actor,["Narrator (segment \"The Pit and the Pendulum\")"]
Guillermo del Toro,2014,The Hobbit: The Battle of the Five Armies,movie,7.4,440938,writer,""
Guillermo del Toro,2014,The Book of Life,movie,7.3,59889,producer,""
Guillermo del Toro,2015,The Thin Yellow Line,movie,7.4,1090,producer,""
Guillermo del Toro,2015,Crimson Peak,movie,6.5,119973,director,""
Guillermo del Toro,2015,Creature Designers - The Frankenstein Complex,movie,7.3,299,self,["Himself"]
Guillermo del Toro,2017,The Shape of Water,movie,7.3,313276,director,""
Guillermo del Toro,2018,"Ayotzinapa, El paso de la Tortuga",movie,7.6,126,producer,""
