name,startyear,title,titletype,averagerating,numvotes,job,character
Guillermo del Toro,1993,Cronos,movie,6.7,24593,director,""
Guillermo del Toro,1997,Mimic,movie,5.9,43002,director,""
Guillermo del Toro,2001,The Devil's Backbone,movie,7.4,57435,director,""
Guillermo del Toro,2002,Blade II,movie,6.7,187676,director,""
Guillermo del Toro,2004,Hellboy,movie,6.9,291140,director,""
Guillermo del Toro,2006,Pan's Labyrinth,movie,8.2,575601,director,""
Guillermo del Toro,2008,Hellboy II: The Golden Army,movie,7,243110,director,""
Guillermo del Toro,2013,Pacific Rim,movie,6.9,445676,director,""
Guillermo del Toro,2015,Crimson Peak,movie,6.5,119973,director,""
Guillermo del Toro,2017,The Shape of Water,movie,7.3,313276,director,""
