name,startyear,title,titletype,averagerating,numvotes,job,character
Johnny Depp,1984,A Nightmare on Elm Street,movie,7.5,186398,actor,["Glen Lantz"]
Johnny Depp,1985,Private Resort,movie,5.3,7105,actor,["Jack"]
Johnny Depp,1990,Cry-Baby,movie,6.5,51032,actor,["Cry-Baby"]
Johnny Depp,1990,Edward Scissorhands,movie,7.9,416915,actor,["Edward Scissorhands"]
Johnny Depp,1993,Benny & Joon,movie,7.2,51867,actor,["Sam"]
Johnny Depp,1993,Arizona Dream,movie,7.4,38751,actor,["Axel Blackmar"]
Johnny Depp,1993,What's Eating Gilbert Grape,movie,7.8,198304,actor,["Gilbert Grape"]
Johnny Depp,1994,Don Juan DeMarco,movie,6.7,45866,actor,["Don Juan DeMarco"]
Johnny Depp,1994,Ed Wood,movie,7.9,157946,actor,["Ed Wood"]
Johnny Depp,1995,Nick of Time,movie,6.3,36870,actor,["Gene Watson"]
Johnny Depp,1995,Dead Man,movie,7.7,84170,actor,["William Blake"]
Johnny Depp,1997,The Brave,movie,6.4,8692,actor,["Raphael"]
Johnny Depp,1997,Donnie Brasco,movie,7.8,256384,actor,["Donnie"]
Johnny Depp,1998,Fear and Loathing in Las Vegas,movie,7.7,243679,actor,["Raoul Duke"]
Johnny Depp,1999,The Source: The Story of the Beats and the Beat Generation,movie,7.5,729,actor,["Jack Kerouac"]
Johnny Depp,1999,Sleepy Hollow,movie,7.4,307572,actor,["Ichabod Crane"]
Johnny Depp,1999,The Astronaut's Wife,movie,5.3,50695,actor,["Commander Spencer Armacost"]
Johnny Depp,1999,The Ninth Gate,movie,6.7,154266,actor,["Dean Corso"]
Johnny Depp,2000,Before Night Falls,movie,7.2,22903,actor,"[""Bon Bon"",""Lieutenant Victor""]"
Johnny Depp,2001,From Hell,movie,6.8,139898,actor,["Inspector Frederick Abberline"]
Johnny Depp,2001,Blow,movie,7.6,224901,actor,["George Jung"]
Johnny Depp,2001,If I Should Fall from Grace: The Shane MacGowan Story,movie,7.4,316,archive_footage,["Himself (music video: \"That Woman's Got Me Drinking\")"]
Johnny Depp,2002,Lost in La Mancha,movie,7.4,10680,self,["Himself"]
Johnny Depp,2003,Once Upon a Time in Mexico,movie,6.4,145776,actor,["Sands"]
Johnny Depp,2003,Pirates of the Caribbean: The Curse of the Black Pearl,movie,8,969080,actor,["Jack Sparrow"]
Johnny Depp,2004,Secret Window,movie,6.6,170813,actor,["Mort Rainey"]
Johnny Depp,2004,The Libertine,movie,6.4,33697,actor,["Rochester"]
Johnny Depp,2004,...And They Lived Happily Ever After,movie,6.5,4530,actor,["L'inconnu"]
Johnny Depp,2004,Finding Neverland,movie,7.7,191345,actor,["Sir James Matthew Barrie"]
Johnny Depp,2005,Charlie and the Chocolate Factory,movie,6.6,392048,actor,["Willy Wonka"]
Johnny Depp,2005,Corpse Bride,movie,7.4,224644,actor,["Victor Van Dort"]
Johnny Depp,2006,Pirates of the Caribbean: Dead Man's Chest,movie,7.3,615941,actor,["Jack Sparrow"]
Johnny Depp,2007,Pirates of the Caribbean: At World's End,movie,7.1,559437,actor,["Jack Sparrow"]
Johnny Depp,2007,Sweeney Todd: The Demon Barber of Fleet Street,movie,7.4,323714,actor,["Sweeney Todd"]
Johnny Depp,2008,Gonzo: The Life and Work of Dr. Hunter S. Thompson,movie,7.7,7170,self,["Himself - Narrator"]
Johnny Depp,2009,Unloveable,movie,5.5,6,director,
Johnny Depp,2009,Public Enemies,movie,7,262638,actor,["John Dillinger"]
Johnny Depp,2009,The Doors: When You're Strange,movie,7.7,8632,actor,["Narrator"]
Johnny Depp,2010,The Tourist,movie,6,207745,actor,["Frank Tupelo"]
Johnny Depp,2010,Alice in Wonderland,movie,6.5,360484,actor,["Mad Hatter"]
Johnny Depp,2011,The Rum Diary,movie,6.2,95026,actor,["Kemp"]
Johnny Depp,2011,Hugo,movie,7.5,285909,producer,
Johnny Depp,2011,Pirates of the Caribbean: On Stranger Tides,movie,6.6,450015,actor,["Jack Sparrow"]
Johnny Depp,2011,Rango,movie,7.2,217285,actor,"[""Rango"",""Lars""]"
Johnny Depp,2012,Dark Shadows,movie,6.2,231003,actor,["Barnabas Collins"]
Johnny Depp,2012,For No Good Reason,movie,7,1326,self,["Himself"]
Johnny Depp,2013,The Lone Ranger,movie,6.4,209710,actor,["Tonto"]
Johnny Depp,2014,Transcendence,movie,6.3,205343,actor,["Will Caster"]
Johnny Depp,2015,Black Mass,movie,6.9,156657,actor,["James 'Whitey' Bulger"]
Johnny Depp,2015,Mortdecai,movie,5.5,61779,actor,["Mortdecai"]
Johnny Depp,2016,Yoga Hosers,movie,4.3,10593,actor,["Guy Lapointe"]
Johnny Depp,2016,Untitled Keith Richards Documentary,movie,5,8,director,
Johnny Depp,2016,Alice Through the Looking Glass,movie,6.2,80777,actor,["Hatter Tarrant Hightopp"]
Johnny Depp,2017,Pirates of the Caribbean: Dead Men Tell No Tales,movie,6.6,231298,actor,["Captain Jack Sparrow"]
Johnny Depp,2017,Rolling Stone: Stories from the Edge,movie,7.5,386,actor,["Hunter S. Thompson"]
Johnny Depp,2017,Cashed Out Casino,movie,7.1,8,archive_footage,["Himself"]
Johnny Depp,2018,Brothers in Arms,movie,7.9,86,self,["Himself"]
Johnny Depp,2018,Fantastic Beasts: The Crimes of Grindelwald,movie,6.6,169301,actor,["Grindelwald"]
Johnny Depp,2018,The Professor,movie,6.7,9228,actor,["Richard"]
Johnny Depp,2018,Sherlock Gnomes,movie,5.1,8244,actor,["Sherlock Gnomes"]
Johnny Depp,2018,City of Lies,movie,6.4,2206,actor,["Russell Poole"]
