name,startyear,title,titletype,averagerating,numvotes,job,character
Johnny Depp,1984,A Nightmare on Elm Street,movie,7.5,186449,actor,["Glen Lantz"]
Johnny Depp,1985,Private Resort,movie,5.3,7107,actor,["Jack"]
Johnny Depp,1990,Edward Scissorhands,movie,7.9,417013,actor,["Edward Scissorhands"]
Johnny Depp,1990,Cry-Baby,movie,6.5,51042,actor,["Cry-Baby"]
Johnny Depp,1993,Benny & Joon,movie,7.2,51875,actor,["Sam"]
Johnny Depp,1993,What's Eating Gilbert Grape,movie,7.8,198345,actor,["Gilbert Grape"]
Johnny Depp,1993,Arizona Dream,movie,7.4,38757,actor,["Axel Blackmar"]
Johnny Depp,1994,Ed Wood,movie,7.9,157969,actor,["Ed Wood"]
Johnny Depp,1994,Don Juan DeMarco,movie,6.7,45873,actor,["Don Juan DeMarco"]
Johnny Depp,1995,Nick of Time,movie,6.3,36884,actor,["Gene Watson"]
Johnny Depp,1995,Dead Man,movie,7.7,84195,actor,["William Blake"]
Johnny Depp,1997,The Brave,movie,6.4,8696,actor,["Raphael"]
Johnny Depp,1997,Donnie Brasco,movie,7.8,256429,actor,["Donnie"]
Johnny Depp,1998,Fear and Loathing in Las Vegas,movie,7.7,243713,actor,["Raoul Duke"]
Johnny Depp,1999,The Astronaut's Wife,movie,5.3,50704,actor,["Commander Spencer Armacost"]
Johnny Depp,1999,The Ninth Gate,movie,6.7,154290,actor,["Dean Corso"]
Johnny Depp,1999,Sleepy Hollow,movie,7.4,307627,actor,["Ichabod Crane"]
Johnny Depp,1999,The Source: The Story of the Beats and the Beat Generation,movie,7.5,729,actor,["Jack Kerouac"]
Johnny Depp,2000,Before Night Falls,movie,7.2,22903,actor,"[""Bon Bon"",""Lieutenant Victor""]"
Johnny Depp,2001,If I Should Fall from Grace: The Shane MacGowan Story,movie,7.4,316,archive_footage,["Himself (music video: \"That Woman's Got Me Drinking\")"]
Johnny Depp,2001,Blow,movie,7.6,224942,actor,["George Jung"]
Johnny Depp,2001,From Hell,movie,6.8,139917,actor,["Inspector Frederick Abberline"]
Johnny Depp,2002,Lost in La Mancha,movie,7.4,10680,self,["Himself"]
Johnny Depp,2003,Once Upon a Time in Mexico,movie,6.4,145796,actor,["Sands"]
Johnny Depp,2003,Pirates of the Caribbean: The Curse of the Black Pearl,movie,8,969252,actor,["Jack Sparrow"]
Johnny Depp,2004,Finding Neverland,movie,7.7,191367,actor,["Sir James Matthew Barrie"]
Johnny Depp,2004,The Libertine,movie,6.4,33700,actor,["Rochester"]
Johnny Depp,2004,...And They Lived Happily Ever After,movie,6.5,4532,actor,["L'inconnu"]
Johnny Depp,2004,Secret Window,movie,6.6,170843,actor,["Mort Rainey"]
Johnny Depp,2005,Corpse Bride,movie,7.4,224694,actor,["Victor Van Dort"]
Johnny Depp,2005,Charlie and the Chocolate Factory,movie,6.6,392163,actor,["Willy Wonka"]
Johnny Depp,2006,Pirates of the Caribbean: Dead Man's Chest,movie,7.3,616050,actor,["Jack Sparrow"]
Johnny Depp,2007,Pirates of the Caribbean: At World's End,movie,7.1,559526,actor,["Jack Sparrow"]
Johnny Depp,2007,Sweeney Todd: The Demon Barber of Fleet Street,movie,7.4,323771,actor,["Sweeney Todd"]
Johnny Depp,2008,Gonzo: The Life and Work of Dr. Hunter S. Thompson,movie,7.7,7171,self,["Himself - Narrator"]
Johnny Depp,2009,The Doors: When You're Strange,movie,7.7,8633,actor,["Narrator"]
Johnny Depp,2009,Public Enemies,movie,7,262675,actor,["John Dillinger"]
Johnny Depp,2010,Alice in Wonderland,movie,6.5,360560,actor,["Mad Hatter"]
Johnny Depp,2010,The Tourist,movie,6,207798,actor,["Frank Tupelo"]
Johnny Depp,2011,Hugo,movie,7.5,285961,producer,""
Johnny Depp,2011,Rango,movie,7.2,217341,actor,"[""Rango"",""Lars""]"
Johnny Depp,2011,The Rum Diary,movie,6.2,95033,actor,["Kemp"]
Johnny Depp,2011,Pirates of the Caribbean: On Stranger Tides,movie,6.6,450098,actor,["Jack Sparrow"]
Johnny Depp,2012,For No Good Reason,movie,7,1326,self,["Himself"]
Johnny Depp,2012,Dark Shadows,movie,6.2,231059,actor,["Barnabas Collins"]
Johnny Depp,2013,The Lone Ranger,movie,6.4,209746,actor,["Tonto"]
Johnny Depp,2014,Transcendence,movie,6.3,205373,actor,["Will Caster"]
Johnny Depp,2015,Mortdecai,movie,5.5,61790,actor,["Mortdecai"]
Johnny Depp,2015,Black Mass,movie,6.9,156683,actor,["James 'Whitey' Bulger"]
Johnny Depp,2016,Yoga Hosers,movie,4.3,10605,actor,["Guy Lapointe"]
Johnny Depp,2016,Alice Through the Looking Glass,movie,6.2,80809,actor,["Hatter Tarrant Hightopp"]
Johnny Depp,2017,Rolling Stone: Stories from the Edge,movie,7.5,386,actor,["Hunter S. Thompson"]
Johnny Depp,2017,Pirates of the Caribbean: Dead Men Tell No Tales,movie,6.6,231393,actor,["Captain Jack Sparrow"]
Johnny Depp,2018,Fantastic Beasts: The Crimes of Grindelwald,movie,6.6,169643,actor,["Grindelwald"]
Johnny Depp,2018,City of Lies,movie,6.4,2229,actor,["Russell Poole"]
Johnny Depp,2018,Sherlock Gnomes,movie,5.1,8258,actor,["Sherlock Gnomes"]
Johnny Depp,2018,The Professor,movie,6.7,9342,actor,["Richard"]
