startyear,primarytitle,genres,maxaveragerating,numvotes,runtimeminutes
1900,Family Troubles,Comedy,4.9,20,
1906,Lika mot lika,Comedy,4.2,16,
1911,Rudi na záletech,Comedy,4.4,33,
1912,The Mummy,Comedy,5.8,28,
1913,Zub za zub,Comedy,5.9,21,
1914,The Man from Mexico,Comedy,7.7,24,
1915,Tillie's Tomato Surprise,Comedy,8.5,21,
1916,The Lost Bridegroom,Comedy,7,12,50
1917,The Clodhopper,"Comedy,Drama",7.2,13,
1918,The Beloved Blackmailer,"Comedy,Romance",8.5,24,50
1919,Getting Mary Married,Comedy,8,179,65
1920,Why Change Your Wife?,"Comedy,Drama",7.8,1285,90
1920,Dinty,"Adventure,Comedy,Drama",7.8,51,70
1921,The Kid,"Comedy,Drama,Family",8.3,98953,68
1922,Grandma's Boy,"Comedy,Family",7.1,1523,60
1922,Dr. Jack,Comedy,7.1,1119,59
1922,Saturday Night,"Comedy,Romance",7.1,77,90
1922,The Primitive Lover,"Comedy,Romance",7.1,84,68
1923,Little Old New York,"Comedy,Romance",8.2,860,110
1923,Safety Last!,"Action,Comedy,Thriller",8.2,16510,70
1924,Sherlock Jr.,"Action,Comedy,Romance",8.2,33626,45
1925,Zander the Great,"Action,Comedy,Drama",8.3,600,80
1926,Beverly of Graustark,"Comedy,Romance",8.3,435,70
1927,The Fair Co-Ed,Comedy,8.1,690,71
1928,The Cameraman,"Comedy,Drama,Family",8.2,9293,76
1929,It's a Great Life,"Comedy,Musical,Romance",7.8,250,93
1930,Sweethearts on Parade,"Comedy,Musical,Romance",8.1,28,65
1931,It's a Wise Child,Comedy,8.8,56,83
1932,Trouble in Paradise,"Comedy,Crime,Romance",8.1,11771,83
1933,Gold Diggers of 1933,"Comedy,Drama,Musical",8,6625,97
1934,The Thin Man,"Comedy,Crime,Mystery",8.1,24261,91
1934,It Happened One Night,"Comedy,Romance",8.1,85356,105
1935,A Night at the Opera,"Comedy,Music,Musical",8,28726,96
1936,Modern Times,"Comedy,Drama,Family",8.5,193088,87
1937,Make Way for Tomorrow,"Comedy,Drama,Romance",8.2,6467,91
1938,Romance in the Dark,"Comedy,Music,Romance",8.3,41,77
1939,Mr. Smith Goes to Washington,"Comedy,Drama",8.2,98847,129
1940,The Great Dictator,"Comedy,Drama,War",8.5,182886,125
1941,Sullivan's Travels,"Adventure,Comedy,Drama",8.1,21816,90
1942,To Be or Not to Be,"Comedy,War",8.2,23475,99
1943,Mr. Muggs Steps Out,Comedy,8,276,63
1944,Marriage,Comedy,8.2,278,64
1945,Come Out Fighting,Comedy,8,342,62
1945,Docks of New York,"Action,Adventure,Comedy",8,296,62
1945,Chirveuli mezoblebi,"Comedy,Drama,War",8,20,75
1946,One Way to Love,Comedy,8.3,17,83
1947,Los tres García,"Comedy,Romance",8,492,118
1947,Monsieur Verdoux,"Comedy,Crime,Drama",8,14242,124
1948,Madame Sousou,Comedy,8.2,28,80
1949,Kind Hearts and Coronets,"Comedy,Crime",8.1,32072,106
1950,The King of the Neighborhood,"Comedy,Crime,Romance",8.3,327,100
1951,Frühling auf dem Eis,"Comedy,Music,Romance",8.1,35,95
1952,Pelli Chesi Choodu,"Comedy,Drama",8.4,31,191
1953,I Love Lucy,Comedy,8.3,303,80
1954,Die Familie Hesselbach,Comedy,8.4,17,98
1955,Vatertag,Comedy,8.6,11,83
1955,The Counterfeit Coin,"Comedy,Drama,Romance",8.6,2178,127
1956,"O Olmasin, Bu Olsun",Comedy,8.5,360,87
1956,Das Horoskop der Familie Hesselbach,Comedy,8.5,14,95
1957,Maya Bazaar,"Comedy,Drama,Family",9.2,3261,192
1958,We Only Live Once,"Comedy,Drama,Romance",8.3,1313,111
1959,The Great War,"Comedy,Drama,War",8.3,3320,137
1959,Personal Assistant,Comedy,8.3,52,126
1960,The Apartment,"Comedy,Drama,Romance",8.3,145755,125
1961,Pichler's Books Are Not in Order,Comedy,8.9,18,90
1962,Gundamma Katha,"Comedy,Drama",8.8,1018,166
1963,Tis kakomoiras,Comedy,8.8,1916,96
1964,Mars! Mars! Tra-ta-ta!,"Comedy,Fantasy",8.6,11,78
1965,Covik od svita,Comedy,8.7,45,101
1966,13 Number Feku Ostagar Lane,"Comedy,Family",8.7,13,
1967,The Far Out West,"Comedy,Western",8.6,42,100
1968,Ahmad albab,"Comedy,Drama",8.5,39,
1969,The Adventures of Goopy and Bagha,"Adventure,Comedy,Family",8.8,1802,132
1970,Brigada Diverse intrã în actiune,Comedy,8.7,1490,100
1971,B.D. In Alert,"Action,Comedy",8.7,1550,95
1972,S detza na more,"Comedy,Drama",8.7,791,80
1973,Mze shemodgomisa,"Comedy,Romance",8.7,41,90
1974,Sherekilebi,"Comedy,Musical",8.9,850,80
1975,The Chaos Class,"Comedy,Drama",9.4,33953,87
1976,The Foster Brothers,"Comedy,Family,Mystery",9,16875,80
1976,The Chaos Class Failed the Class,Comedy,9,19703,91
1976,Tosun Pasa,"Comedy,History",9,19289,90
1977,The Chaos Class Is Waking Up,Comedy,8.8,16382,94
1977,"Saban, Son of Saban","Comedy,Crime,Mystery",8.8,14555,90
1978,The Adventures of the Jensen Boys,Comedy,9.5,11,45
1979,Isa-dalawa-tatlo: Ang tatay kong kalbo,Comedy,9.1,36,
1979,Kuwatog,"Comedy,Drama,Fantasy",9.1,37,
1980,Who's Singin' Over There?,"Adventure,Comedy,Drama",8.9,12585,86
1981,Confusion,Comedy,9.1,12,107
1982,The Marathon Family,"Comedy,Drama",9,13121,92
1983,"Blue Mountains, or Unbelievable Story","Comedy,Drama",8.9,1416,97
1984,May lamok sa loob ng kulambo,Comedy,9.2,29,
1984,Rock-N-America,"Comedy,Music",9.2,15,
1985,Sa totoo lang!,"Comedy,Drama",9.1,38,
1986,Cat City,"Adventure,Animation,Comedy",8.4,8868,96
1986,Treasure Island Part I: Captain Flint's Map,"Adventure,Animation,Comedy",8.4,683,48
1987,Aha Naa Pellanta,Comedy,8.9,2121,147
1988,The Untouchable Family,"Action,Comedy,Crime",9.2,33,
1989,Le Clandestin,"Adventure,Comedy,Family",9.1,40,90
1990,Teacher's Enemy No. 1,Comedy,9,32,97
1991,Sandesham,"Comedy,Drama",8.9,2818,138
1992,Valhalla,"Comedy,Drama",8.6,16,
1993,Gagay: Prinsesa ng brownout,Comedy,9.1,32,
1994,Cultivating Charlie,Comedy,8.6,11,
1995,Okey si ma'am,"Comedy,Drama",9.2,39,
1996,"Pretty Village, Pretty Flame","Comedy,Drama,History",8.7,13329,115
1997,"Gloria, Gloria Labandera",Comedy,9.1,29,
1997,"Isang tanong, isang sagot","Comedy,Drama,Romance",9.1,47,
1998,Barking at the Stars,"Comedy,Romance",8.7,5891,95
1999,Boondoggle,"Action,Comedy",8.5,13,93
2000,A Dog's Will,"Adventure,Comedy",8.6,9210,104
