startyear,primarytitle,genres,maxaveragerating,numvotes,runtimeminutes
1894,Miss Jerry,Romance,5.5,80,45
1897,The Corbett-Fitzsimmons Fight,"Documentary,News,Sport",5.2,301,20
1898,Can Can,,5.9,20,
1899,Around the Big Curves on the Manhattan Elevated R.R.,,5.2,28,
1900,Soldiers of the Cross,"Biography,Drama",6.3,39,
1901,Forward,,5,21,
1902,Snow White,,4.8,28,
1903,Massacres de Macédonie,,6.1,18,
1904,Westinghouse Works,Documentary,5.4,262,68
1905,Eine Fliegenjagd oder Die Rache der Frau Schultze,,5.3,17,
1906,The Story of the Kelly Gang,"Biography,Crime,Drama",6.2,516,70
1907,Tom Sawyer,,6.2,24,
1908,Cuisine magnétique,,5.8,16,
1909,België,Documentary,7.5,17,
1910,The Sanitarium,,6.1,21,
1910,The Squatter's Daughter,Drama,6.1,13,66
1911,Însir'te margarite,,8.6,11,
1912,Life of Villa,"Documentary,War",7.5,15,
1912,With Our King and Queen Through India,Documentary,7.5,14,126
1913,L'enfant de Paris,"Crime,Drama",7.7,272,100
1914,The Man from Mexico,Comedy,7.7,24,
1915,Tillie's Tomato Surprise,Comedy,8.5,21,
1916,Beatrice Fairfax,"Action,Adventure",7.9,48,300
1916,Intolerance: Love's Struggle Throughout the Ages,"Drama,History",7.9,12903,163
1916,The Cossack Whip,Drama,7.9,66,
1917,On Dangerous Ground,"Drama,War",9,85,
1918,Cecilia of the Pink Roses,Drama,9,88,
1919,The Witness for the Defense,Drama,8.4,20,50
1920,April Folly,"Crime,Drama",8.2,121,
1920,The Restless Sex,Drama,8.2,138,
1921,Hunger... Hunger... Hunger,Documentary,9.4,12,
1922,Beauty's Worth,"Drama,Romance",8.1,698,112
1923,Safety Last!,"Action,Comedy,Thriller",8.2,16510,70
1923,Little Old New York,"Comedy,Romance",8.2,860,110
1924,Janice Meredith,"Drama,History,Romance",8.3,657,153
1925,Lights of Old Broadway,"Drama,Romance",8.4,438,70
1926,Beverly of Graustark,"Comedy,Romance",8.3,435,70
1927,Metropolis,"Drama,Sci-Fi",8.3,145699,153
1928,The Five O'Clock Girl,Musical,8.6,39,
1929,His Glorious Night,"Drama,Romance",8.8,42,80
1930,Sweet Mama,"Crime,Drama",8.6,38,54
1931,It's a Wise Child,Comedy,8.8,56,83
1932,Trouble in Paradise,"Comedy,Crime,Romance",8.1,11771,83
1932,I Am a Fugitive from a Chain Gang,"Crime,Drama,Film-Noir",8.1,10605,92
1933,Gold Diggers of 1933,"Comedy,Drama,Musical",8,6625,97
1934,România,Documentary,8.4,93,
1935,BBC: The Voice of Britain,Documentary,8.2,13,53
1936,Colturi din România,Documentary,8.5,11,
1936,Desafio de Futebol F.C. Porto-Benfica,Documentary,8.5,12,
1936,Modern Times,"Comedy,Drama,Family",8.5,193088,87
1937,Make Way for Tomorrow,"Comedy,Drama,Romance",8.2,6467,91
1938,Romance in the Dark,"Comedy,Music,Romance",8.3,41,77
1939,Mr. Smith Goes to Washington,"Comedy,Drama",8.2,98847,129
1939,Gone with the Wind,"Drama,History,Romance",8.2,265784,238
1940,The Great Dictator,"Comedy,Drama,War",8.5,182886,125
1940,Miyamoto Musashi - Dai-ichi-bu: Kusawake no hitobito - Dai-ni-bu: Eitatsu no mon,Drama,8.5,11,
1941,Mexico Marches,,8.4,21,
1942,Straza na Drini,Documentary,8.9,30,
1943,The Life and Death of Colonel Blimp,"Drama,Romance,War",8.2,11826,163
1943,Barbora Hlavsová,Drama,8.2,13,89
1944,Béatrice devant le désir,,8.9,11,97
1945,Native Land,Documentary,8.8,13,58
1946,It's a Wonderful Life,"Drama,Family,Fantasy",8.6,360323,130
1947,La copla de la Dolores,Drama,9.2,16,85
1948,La rubia Mireya,Drama,9.1,11,81
1949,St. Matthew Passion,"Documentary,Music",9,11,95
1950,Memorias de un mexicano,Documentary,8.5,44,100
1951,Chanway,Musical,8.6,11,
1951,Kedamono no yado,Drama,8.6,14,85
1952,Tembo,"Action,Adventure,Documentary",8.4,16,80
1952,Pelli Chesi Choodu,"Comedy,Drama",8.4,31,191
1953,Gulacha Ganapati,,8.6,29,137
1954,Victory at Sea,"Documentary,War",8.8,134,98
